ts,db,c1_idx,c1_cf,c1_name,c2_idx,c2_cf,c2_name,c3_idx,c3_cf,c3_name
1746671163.233241,-56.0,494,96.5,Silence,500,1.0,"Inside, small room",0,0.3,Speech
1746671166.218869,-53.4,500,35.5,"Inside, small room",494,12.9,Silence,501,4.1,"Inside, large room or hall"
1746671169.208628,-44.6,0,42.2,Speech,500,10.0,"Inside, small room",36,8.7,Breathing
1746671172.193595,-44.0,67,86.9,Animal,103,80.5,Wild animals,106,79.8,Bird
1746671175.179274,-41.4,500,53.0,"Inside, small room",501,7.7,"Inside, large room or hall",348,4.5,Door
1746671178.2528782,-54.4,494,71.0,Silence,500,3.9,"Inside, small room",68,1.8,"Domestic animals, pets"
1746671184.225507,-52.7,500,46.4,"Inside, small room",348,14.4,Door,357,12.0,Drawer open or close
1746671187.2096572,-46.3,500,50.3,"Inside, small room",381,4.4,Writing,470,3.7,Rub
1746671190.199069,-32.7,500,67.4,"Inside, small room",501,5.6,"Inside, large room or hall",470,4.4,Rub
1746671199.248745,-42.3,500,61.5,"Inside, small room",501,6.6,"Inside, large room or hall",357,3.0,Drawer open or close
1746671202.231502,-51.4,500,36.6,"Inside, small room",68,13.0,"Domestic animals, pets",381,11.9,Writing
1746671208.207065,-52.4,494,42.8,Silence,500,14.8,"Inside, small room",501,1.9,"Inside, large room or hall"
1746671211.196533,-52.5,494,39.4,Silence,500,11.9,"Inside, small room",68,4.5,"Domestic animals, pets"
1746671214.178383,-49.8,500,53.2,"Inside, small room",357,15.3,Drawer open or close,348,10.1,Door
1746671217.2529652,-53.9,494,93.1,Silence,500,2.1,"Inside, small room",485,0.3,Clicking
1746671220.235148,-56.9,494,95.6,Silence,500,1.5,"Inside, small room",501,0.1,"Inside, large room or hall"
1746671223.2246091,-54.3,494,100.0,Silence,0,0.0,Speech,132,0.0,Music
1746671226.2117472,-55.4,494,100.0,Silence,0,0.0,Speech,132,0.0,Music
1746671229.197261,-52.9,494,75.5,Silence,500,2.2,"Inside, small room",36,1.8,Breathing
1746671235.253008,-54.3,494,100.0,Silence,0,0.0,Speech,3,0.0,"Narration, monologue"
1746671241.228665,-37.9,500,67.7,"Inside, small room",357,6.7,Drawer open or close,501,4.0,"Inside, large room or hall"
1746671244.214858,-27.7,500,41.8,"Inside, small room",156,5.5,Percussion,159,4.5,Drum
1746671250.194579,-47.7,500,77.6,"Inside, small room",375,21.4,Scissors,358,2.8,"Dishes, pots, and pans"
1746671253.1750422,-50.4,500,42.5,"Inside, small room",357,16.7,Drawer open or close,351,13.3,Sliding door
1746671259.233809,-32.8,0,38.5,Speech,500,7.2,"Inside, small room",412,0.5,Tools
1746671262.220043,-19.2,425,97.7,Cap gun,421,89.5,"Gunshot, gunfire",420,78.8,Explosion
1746671265.207082,-54.6,494,67.9,Silence,504,2.3,"Outside, rural or natural",0,1.2,Speech
1746671268.194518,-52.8,438,33.1,Liquid,282,28.2,Water,364,17.2,"Water tap, faucet"
1746671271.182716,-55.9,494,98.6,Silence,0,0.1,Speech,500,0.1,"Inside, small room"
1746671280.222757,-49.5,500,52.3,"Inside, small room",375,51.6,Scissors,381,43.2,Writing
